City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Opuwo,NA,-18.0607,13.84,64.33,54,96,5.57,overcast clouds
297,Sinnamary,GF,5.3833,-52.95,75.99,89,100,10.87,light rain
298,Kenmare,IE,51.8833,-9.5833,51.08,96,95,6.15,overcast clouds
299,Winnetka,US,42.1081,-87.7359,34.3,91,100,5.99,overcast clouds
300,Beira,MZ,-19.8436,34.8389,77.09,94,20,8.5,few clouds
301,Torbat-E Jam,IR,35.244,60.6225,39.18,27,88,3.09,overcast clouds
302,Marion,US,39.7684,-86.1555,43.18,74,100,13.8,overcast clouds
303,Bandar-E Lengeh,IR,26.5579,54.8807,69.91,49,100,12.3,overcast clouds
304,Rabo De Peixe,PT,37.8,-25.5833,60.31,94,75,13.8,light intensity shower rain
305,Kharp,RU,66.8014,65.8081,1.9,94,100,13.65,overcast clouds
306,Balod,IN,20.73,81.2047,62.46,58,60,5.61,broken clouds
307,Angoche,MZ,-16.2325,39.9086,75.99,91,28,9.35,scattered clouds
308,Port-Cartier,CA,50.0334,-66.8654,10.08,74,0,10.45,clear sky
309,Natal,BR,-5.795,-35.2094,79.45,78,20,11.5,few clouds
310,San Cristobal,VE,7.7669,-72.225,68.18,96,70,2.17,broken clouds
311,Mao,ES,39.8885,4.2658,48.76,87,20,6.91,few clouds
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,52,0,8.05,clear sky
313,Imeni Zhelyabova,RU,58.9544,36.5956,0.01,99,84,4.16,broken clouds
314,Rock Sound,BS,24.9,-76.2,77.77,68,3,13.27,clear sky
315,Chirongui,YT,-12.9319,45.1483,82.33,76,88,12.48,overcast clouds
316,Posadas,AR,-27.3671,-55.8961,85.98,45,0,5.75,clear sky
317,Matadi,CD,-5.8167,13.45,74.44,97,97,2.01,overcast clouds
318,Nador,MA,35.174,-2.9287,61.05,82,75,8.05,broken clouds
319,Kalmunai,LK,7.4167,81.8167,75.52,86,99,8.5,overcast clouds
320,Adrar,MR,20.5022,-10.0711,59.23,17,19,11.3,few clouds
321,Aksu,CN,41.1231,80.2644,23.04,46,9,3.53,clear sky
322,The Valley,AI,18.217,-63.0578,79.11,77,1,21.85,clear sky
323,Batavia,US,41.85,-88.3126,34.27,85,100,12.66,mist
324,Formosa Do Rio Preto,BR,-11.0483,-45.1931,71.65,90,98,1.54,overcast clouds
325,Zaozerne,UA,45.1582,33.2787,38.57,74,6,1.63,clear sky
326,Jalingo,NG,8.8833,11.3667,73.81,30,32,5.53,scattered clouds
327,Verkhnyaya Inta,RU,65.9811,60.3094,2.32,85,100,11.81,overcast clouds
328,Akureyri,IS,65.6835,-18.0878,22.93,100,75,0.0,broken clouds
329,Carballo,ES,43.213,-8.691,55.87,93,11,3.67,few clouds
330,Paamiut,GL,61.994,-49.6678,29.84,61,100,32.17,overcast clouds
331,Oktyabrskoye,RU,43.0645,44.7417,37.54,93,100,2.24,fog
332,Valverde Del Camino,ES,37.5751,-6.7543,50.04,87,1,4.83,clear sky
333,Beyneu,KZ,45.3167,55.2,38.14,93,93,8.21,overcast clouds
334,Boda,CF,4.3189,17.4695,81.54,31,97,4.81,overcast clouds
335,Perelyub,RU,51.8667,50.3667,17.13,93,81,9.44,broken clouds
336,Mabaruma,GY,8.2,-59.7833,72.03,95,100,2.73,light rain
337,Businga,CD,3.3333,20.8833,77.7,53,71,1.01,broken clouds
338,Dingle,PH,10.9995,122.6711,77.95,89,85,10.07,overcast clouds
339,Leca Da Palmeira,PT,41.191,-8.7003,52.18,91,0,3.44,clear sky
340,Tutoia,BR,-2.7619,-42.2744,80.01,82,99,13.13,overcast clouds
341,Kaduqli,SD,11.0167,29.7167,70.0,26,0,14.83,clear sky
342,Sao Pedro Do Sul,BR,-29.6206,-54.1789,75.85,27,6,3.09,clear sky
343,Kemijarvi,FI,66.7131,27.4306,1.72,100,87,4.76,overcast clouds
344,Eyl,SO,7.9803,49.8164,73.98,72,20,14.79,few clouds
345,Mweka,CD,-4.85,21.5667,67.64,99,100,0.6,moderate rain
